n,d,t
1000,917,0.060740343999350445
1000,903,0.058320229997625574
1000,347,0.018352579998318106
1000,884,0.05786213400308043
1000,7,0.0001751200028229505
1000,278,0.01705733000067994
1000,926,0.06232785799540579
1000,342,0.018681510001188145
1000,405,0.021122357996646315
1000,138,0.009429571997607127
1000,560,0.029276021998375656
1000,111,0.006938617995474488
1000,954,0.06461879999260418
1000,129,0.006069775999058038
1000,816,0.052822267999872566
1000,580,0.029578031999990345
1000,919,0.06124284000135958
1000,334,0.017574233999475837
1000,498,0.025782723997253926
1000,261,0.016743304001865907
1000,627,0.03195571599644609
1000,475,0.024909421999473123
1000,945,0.0635327619954478
1000,613,0.03098088200436905
1000,88,0.004851377998711541
1000,752,0.04457323199603706
1000,116,0.00582417799741961
1000,528,0.02776555799646303
1000,95,0.004990787998540327
1000,413,0.02230819799704477
1000,936,0.06268885999685153
1000,932,0.06256496000336483
1000,674,0.03818599400343373
1000,654,0.03519129799795337
1000,104,0.006201935998396948
1000,249,0.01651390200131573
1000,901,0.05963141399784945
1000,150,0.007491742003476247
1000,144,0.007101943998131901
1000,753,0.044318782001500946
1000,414,0.02211801000055857
1000,889,0.0580178160010837
1000,662,0.03671497799921781
1000,206,0.012257746000541374
1000,921,0.06168675599852577
1000,394,0.021139302003430203
1000,950,0.06433917600312271
1000,6,0.0001310439989902079
1000,454,0.023934465994825585
1000,96,0.006377497994108126
1000,865,0.05726091999909841
1000,228,0.013808984002098441
1000,142,0.0072056079946924
1000,593,0.03136641800287179
1000,738,0.04413209200021811
1000,776,0.05139380600186996
1000,403,0.020357751997653394
1000,302,0.016429368004901336
1000,710,0.03899778799852356
1000,3,8.8546002516523e-05
1000,665,0.03588601800613105
1000,321,0.016533008001279086
1000,148,0.007627439999487251
1000,118,0.00756759200245142
1000,162,0.0106080120021943
1000,191,0.013515525999246165
1000,834,0.05474066600669175
1000,344,0.01808641600073315
1000,439,0.022969077996676787
1000,526,0.02788091800059192
1000,281,0.014909267999464647
1000,253,0.017929498001467436
1000,514,0.027157934000715613
1000,124,0.007676715997513383
1000,905,0.06026540199993178
1000,923,0.06064965399331413
1000,59,0.0044618520024232566
1000,337,0.018719008003827184
1000,556,0.029716048000846058
1000,522,0.027204002004582437
1000,39,0.001980643995339051
1000,436,0.02391027200501412
1000,831,0.05526166199706495
1000,287,0.016166467999573796
1000,822,0.05351567199919373
1000,660,0.03680620200000703
1000,862,0.05747704399982467
1000,483,0.02430584399611689
1000,515,0.025758598003303632
1000,751,0.04497797400224954
1000,426,0.02258098600199446
1000,480,0.02476805999642238
1000,774,0.05143408800475299
1000,657,0.03676853399956599
1000,237,0.01543798999977298
1000,927,0.0633785280014854
1000,985,0.06709110000170768
1000,489,0.02539243199978955
1000,595,0.029584212003974243
1000,777,0.05129527000361122
1000,765,0.04873836199869402
1000,728,0.04443194599822164
1000,859,0.05721678600064479
1000,75,0.0037995160068385304
1000,223,0.01662642399664037
1000,127,0.008441235998179763
1000,566,0.030461734000127763
1000,592,0.03051625000196509
1000,783,0.05354387800209224
1000,241,0.01493937599589117
1000,285,0.01755211999756284
1000,259,0.01490774399950169
1000,547,0.028950031999265775
1000,325,0.016315448004752396
1000,220,0.01394255000166595
1000,25,0.0008083379967138171
1000,56,0.003946449998766184
1000,108,0.008175678001716733
1000,944,0.06272618799936026
1000,450,0.02433928199694492
1000,894,0.05876349199330434
1000,268,0.015868292002705855
1000,535,0.027432670000707732
1000,785,0.05139895399333909
1000,67,0.003095116000622511
1000,899,0.059889041995629666
1000,419,0.021483549997210503
1000,197,0.013738622001837938
1000,257,0.016011218001367525
1000,418,0.02230231199413538
1000,286,0.01652619200060144
1000,669,0.036634984005941076
1000,541,0.028455115999095143
1000,786,0.05140981800272129
1000,937,0.06285972999990917
1000,708,0.0374677720060572
1000,910,0.060240236000390725
1000,113,0.00654901800211519
1000,323,0.017354915995383635
1000,744,0.043626333998981866
1000,49,0.0028144060028716922
1000,630,0.03418251799885184
1000,336,0.017953315996564925
1000,625,0.032499048000900074
1000,675,0.037486528002191336
1000,371,0.019103804003680124
1000,175,0.011645185998640955
1000,520,0.02681484800414182
1000,370,0.02038973200134933
1000,424,0.023040737997507676
1000,809,0.05330767000443302
1000,60,0.003101715997327119
1000,790,0.053264074001926925
1000,485,0.024203957992140205
1000,635,0.032145319996634496
1000,99,0.0065572199947200715
1000,610,0.031886705997167156
1000,931,0.06153213200159371
1000,479,0.025068192000035197
1000,294,0.016286097993142904
1000,366,0.0202314760023728
1000,877,0.05715321399620734
1000,401,0.02163071200135164
1000,643,0.03312389599974267
1000,795,0.0517557559965644
1000,872,0.05727583999629132
1000,270,0.014905941998586058
1000,71,0.004124233999755233
1000,160,0.011322341999039054
1000,762,0.048752893996424976
1000,672,0.036519171996042134
1000,170,0.010507304003695025
1000,471,0.02503164599998854
1000,878,0.056691976002184674
1000,52,0.002692437999648973
1000,685,0.03918618799885735
1000,943,0.06459250999614596
1000,84,0.0047489720024168494
1000,169,0.010874082004884258
1000,474,0.02489945199806243
1000,900,0.05973799200146459
1000,1,5.649999948218465e-05
1000,423,0.02236178600578569
1000,194,0.010855353999650106
1000,807,0.051783251996384935
1000,891,0.059740089995320884
1000,457,0.023386818002909423
1000,632,0.03229010800248943
1000,890,0.05961955399834551
1000,134,0.006175910006277263
1000,315,0.01676383799989708
1000,533,0.027956006004242227
1000,377,0.020148029997944832
1000,518,0.027614051998825745
1000,925,0.06205982799641788
1000,412,0.0215561639983207
1000,562,0.02896232799626887
1000,54,0.002681519999168813
1000,137,0.008857412004144862
1000,940,0.06337751799961552
1000,353,0.018000510002020745
1000,575,0.02827523000189103
1000,886,0.0596050600009039
1000,351,0.018021972002461552
1000,36,0.0012511220050510018
1000,534,0.028552936002379282
1000,914,0.06139906000113115
1000,34,0.0013131659955251962
1000,267,0.01786950399982743
1000,143,0.008509298003045842
1000,842,0.055040568003896624
1000,103,0.006658997997874394
1000,832,0.05382301599951461
1000,666,0.038369910001056266
1000,402,0.020436441998463124
1000,876,0.059090826001483944
1000,33,0.0014678779954556377
1000,496,0.025492404005490243
1000,406,0.02083622000180185
1000,555,0.028126379997702317
1000,835,0.055404706000117585
1000,330,0.018370588002726437
1000,280,0.016192248004954307
1000,441,0.02336123799905181
1000,529,0.02650665200664662
1000,446,0.024020960000343622
1000,736,0.0426657780027017
1000,645,0.03184928000089712
1000,741,0.04527094000019133
1000,192,0.011351334005594254
1000,327,0.018067758004181086
1000,824,0.05277720200247131
1000,178,0.012353104004869237
1000,238,0.018030674002366142
1000,214,0.013343951998976991
1000,531,0.027711935993283986
1000,869,0.05675227799918502
1000,947,0.06453993599629029
1000,247,0.01600782200577669
1000,829,0.053465539996977895
1000,221,0.01473789000301622
1000,596,0.030717693995684386
1000,453,0.024032258003717288
1000,335,0.018463287996128203
1000,22,0.0007603479980025441
1000,642,0.033838116005063056
1000,567,0.028399191998178138
